participantId,group,lecture_type,practice_type,responseId,concept,responsePrompt,answer,score,coder_notes
699a436ee9032e2b2333d3c1,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is a measure of how close together two variables are.,NA,NA
699a436ee9032e2b2333d3c1,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope  is rise/run or how a change in one variable affect the change in another variable or vice versa.,NA,NA
69b5d74131631c0333607bec,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","A correlation is a relationship or association between two or more variables. Examples of correlations are positive (when one variable increases, so does the other), negative (when on variable increases, the other decreases), and none (when one variable increases/decreases, the other remains unchanged).",NA,NA
69b5d74131631c0333607bec,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:","A slope is a measurement of steepness of a line, calculated as ""rise over run"", or ratio of vertical change to horizontal change.",NA,NA
69bad0d8d699e854ef8e8184,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is a relation between two or more individual things.,NA,NA
69bad0d8d699e854ef8e8184,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is the value of the change of a line on a graph.,NA,NA
69c440c36f9c43fe1266a56b,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correalation to me is when two things are similar and find a mutual ground,NA,NA
69c440c36f9c43fe1266a56b,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",slope to me is the slope of a line,NA,NA
69c59eeb6b373bc928a1aba9,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",When there is a connection between different things that can be proved,NA,NA
69c59eeb6b373bc928a1aba9,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",data that goes up..? slowly (not sure sorry :( ),NA,NA
69d5bc72bf90388665397b6e,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","correlation is like, how connected two variables are. like how much changes in variable x cause changes in variable y",NA,NA
69d5bc72bf90388665397b6e,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",its a line.. it shows relationship between x axis and y axis. or something,NA,NA
69e293f57120947b9a8408de,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",It measures how two variables move together,NA,NA
69e293f57120947b9a8408de,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",It tells you how steep a line is,NA,NA
69e7ac40430645b3492b7f1b,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A connection between two things.,NA,NA
69e7ac40430645b3492b7f1b,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A downward shape or a word used to describe a downward appearance of an object.,NA,NA
69e96cde65aa9df15260c718,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",how two things relate to the same idea,NA,NA
69e96cde65aa9df15260c718,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",an angle either increasiong or decreasing,NA,NA
69e9f6a993985bfec2114d70,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",something that is related in some way shape or form.,NA,NA
69e9f6a993985bfec2114d70,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",an incline or decline,NA,NA
69eae5f4f5ce43d5a34d388f,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",a connection of one thing to another,NA,NA
69eae5f4f5ce43d5a34d388f,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",a slope is a large decrease,NA,NA
69ecc0e01df33a8b5fa811f2,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",something that relates to something. like if price of oil goes up gas goes up since they are correlated.,NA,NA
69ecc0e01df33a8b5fa811f2,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",an incline or decline on a hill up or down.,NA,NA
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two things and how they are alike.,NA,NA
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The steepness of a line,NA,NA
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is when one statistical factor can be proven to directly relate to another statistical factor,NA,NA
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is the positive or negative direction of statistical information.,NA,NA
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is when they are related.,NA,NA
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",It's like an upward trajectory of a line.,NA,NA
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",When numbers are realted in a graph and in comparison to each other.,NA,NA
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:","This is the trend in the numbers on a graph, for example if numbers are high, then they go down to a lower number. There's a steep slope.",NA,NA
676276312d87ec9601be7d5c,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A Correlation measures the strength and direction of a relationship between two variables,NA,NA
676276312d87ec9601be7d5c,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The slope is the rate of change between two variables representing the steepness of a line as rise over run in a linear equation,NA,NA
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",a statitical measure that describes how 2 veriables move together,NA,NA
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",i would say the rate of change in a linear relationship,NA,NA
67eec9e200be02ad51843d9b,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is somethat that can be ascribed two 2 or more items or ideas,NA,NA
67eec9e200be02ad51843d9b,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a gradual rise of the terrain,NA,NA
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation usually refers to two variables or lines and how they move together. Positive correlation= increase. Negative correlation = decrease.,NA,NA
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope shows how something changes when another thing changes (variables).,NA,NA
695bbdf21fd961458dd7390f,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A connection to one thing to another.,NA,NA
695bbdf21fd961458dd7390f,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A uphill or downhill portion of land of object.,NA,NA
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",The standardized quantification of the linear association between two variables,NA,NA
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The estimated change in an outcome for every one unit increase in a predictor variable,NA,NA
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",something of similar aspects,NA,NA
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a decline of something,NA,NA
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",an association between two or more things.,NA,NA
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",the rate of change,NA,NA
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Variables that are related (affect each other),NA,NA
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",change in y-axis divided by change in x-axis (curve of line),NA,NA
69b64051157b8364c2a0afa6,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is how one variable directly impacts or affects the other.,NA,NA
69b64051157b8364c2a0afa6,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is the amount of correlation between the two variables.,NA,NA
69baaee936d901eb8e30d457,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two data points are connected in some way,NA,NA
69baaee936d901eb8e30d457,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The rate of change,NA,NA
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",when two or more values are compared for similarities and/or dissimilarities,NA,NA
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a slope describes the distance between two points on a graph,NA,NA
69defab23a249a0b519c8f6d,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is a way that two or more things are related to each other.,NA,NA
69defab23a249a0b519c8f6d,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",I'm not sure what a slope is in this context.,NA,NA
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How variables relate with each other,NA,NA
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Is a steep,NA,NA
69e696140295abac7fb9c28b,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is when you measure strength and direction and compare them.,NA,NA
69e696140295abac7fb9c28b,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is steepness defined by a line that slants up or down.,NA,NA
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","Correlation is where two things are related and how if one changes, so does the other.",NA,NA
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the ratio of change.,NA,NA
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",When two things coincide with one another.,NA,NA
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",When an incline moves downward at a gradual angle.,NA,NA
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Ho one thing (behavior) is relative to another behavior.,NA,NA
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",I believe a slope is the degree a measurement decreases or increases compared to a previous or after the peak of the participants results.,NA,NA
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is the combination of two different variables or things and how strong they connect with each other.,NA,NA
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a measure of how steep something is with its direction.,NA,NA
66d88375799e00b593a8655f,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is how two things are related to each other.,NA,NA
66d88375799e00b593a8655f,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope id a downward trend in and abject or a trend.,NA,NA
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",a factor that occurs in tandem with one or more other factors,NA,NA
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",I don't know what slope means in this context,NA,NA
69419e9576aea13f332266ff,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is how two or more variables are related to each other,NA,NA
69419e9576aea13f332266ff,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is rise over rune,NA,NA
69442e09aea78e142db2e54f,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","The relationship between 2 data points/concepts (i.e positive correlation, negative correlation).",NA,NA
69442e09aea78e142db2e54f,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:","A slope is a line on a graph that shows all the data points, usually in a linear manner.",NA,NA
69457dc95341cec41fca5695,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two data sets.,NA,NA
69457dc95341cec41fca5695,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",The angle of a line drawn to visually represent the relationship between two data points.,NA,NA
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is the link between A and B (for example the price of oil rising is linked to the war in Iran).,NA,NA
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",It is the visualization of a trend.,NA,NA
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two variables,NA,NA
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",The degree at which something changes,NA,NA
69afafce3f7970642a6dc071,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",2 things moving together,NA,NA
69afafce3f7970642a6dc071,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",An angel going downward,NA,NA
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",a correlation is a relationship. it is how things are related.,NA,NA
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the rate of change. Sometimes referred to as rise over run.,NA,NA
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","A measure that describes the strength and direction of the relationship between two variables, indicating how they change together.",NA,NA
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:","A numerical value that describes the steepness and direction of a line, calculated as the ratio of the rise to the run between two points.",NA,NA
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","A correlation measures how closely two variable are related, how they change together",NA,NA
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope measures the steepness and direction of a line on a graph.,NA,NA
69c13c0ad9ea03501703d527,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",I think it's the relationship between the x and y axis.,NA,NA
69c13c0ad9ea03501703d527,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",I think it is rise/run.,NA,NA
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",It means similarities.,NA,NA
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",a slope is a decline or a plane that goes downwards.,NA,NA
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relation between one variable occuring and another,NA,NA
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the rise over run of a linear graph,NA,NA
69e913482ae5864d44e6387c,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","Correlation is whether there is an association between two topics, objects, or general things.",NA,NA
69e913482ae5864d44e6387c,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is rise over run.,NA,NA
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",its show how two things are related,NA,NA
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",its how steep a line is,NA,NA
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation refers to the relationship between x and y variable.,NA,NA
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the rate of change,NA,NA
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is when two separate things have a trend in common or can be related to one another.,NA,NA
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the change in a line graph's y-axis coordinates.,NA,NA
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two factors,NA,NA
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The line between two points on a graph,NA,NA
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",statics measure expressing the extent to two variable liner relate and move together.,NA,NA
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",low quality.,NA,NA
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is a relationship between two or more entities.,NA,NA
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope could be defined in a 2D system as rise over run.,NA,NA
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",When there is a relationship between 2 numbers.,NA,NA
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The steepness of a line graph.,NA,NA
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How things are related,NA,NA
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Incline or decline,NA,NA
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","When one number moves, the other number moves in the same direction.",NA,NA
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",y=mx+b. The steepness of a line.,NA,NA
67204af156acf704058c6e66,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How two things or points are related,NA,NA
67204af156acf704058c6e66,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:","The difference between two points, or the correlation between them I suppose",NA,NA
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How similar two sets are data are .,NA,NA
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is rate of change between two points.,NA,NA
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How two things move in relation to each other,NA,NA
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",How steep the line is,NA,NA
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two things that have a relationship,NA,NA
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Going up or down,NA,NA
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is a connection between two different variables,NA,NA
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A line on a chart when you log y = mx + b,NA,NA
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is a tistical tool that is used to measure the level of association between points,NA,NA
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a tool that shows a relationship between data points,NA,NA
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is a relation between two things.,NA,NA
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the angle of a shape or arc,NA,NA
69d6384637b632d34190012d,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",how two things relate to each other,NA,NA
69d6384637b632d34190012d,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a gradual increase or decline in values over time,NA,NA
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",how an x and y variable tend to move (direction and strength),NA,NA
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",the change of some y variable over the change over some x variable,NA,NA
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","A correlation is a statistical measure indicating the extent to which two or more variables fluctuate  together, representing a mutual relationship.",NA,NA
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",it represents the incline.,NA,NA
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","I connection between values or variables, but one that isn't necessarily defined by a causal component.",NA,NA
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:","A slope is a change in the Y, or vertical axis value, as X increases by 1 unit",NA,NA
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two things seemingly changing as one another changes.,NA,NA
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The angle of the line between two statistical points.,NA,NA
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is the strength and direction of two variables' relationship.,NA,NA
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a line that slants either upward or downward and represents vertical and horizontal change.,NA,NA
