participantId,group,lecture_type,practice_type,responseId,concept,responsePrompt,answer,score,coder_notes
69b5d74131631c0333607bec,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:","A slope is a measurement of steepness of a line, calculated as ""rise over run"", or ratio of vertical change to horizontal change.",1,Mentions steepness and rise over run/vertical-horizontal ratio.
69bad0d8d699e854ef8e8184,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is a relation between two or more individual things.,0.5,Mentions relation but vague; no direction/strength.
69bad0d8d699e854ef8e8184,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is the value of the change of a line on a graph.,0.5,Mentions change of a line; partial but incomplete.
69c440c36f9c43fe1266a56b,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correalation to me is when two things are similar and find a mutual ground,0.5,Mentions similarity/mutual ground; vague relatedness only.
69c440c36f9c43fe1266a56b,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",slope to me is the slope of a line,0,Circular definition; no meaningful explanation.
69c59eeb6b373bc928a1aba9,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",When there is a connection between different things that can be proved,0.5,Mentions connection but says can be proved; vague and no direction/strength.
69c59eeb6b373bc928a1aba9,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",data that goes up..? slowly (not sure sorry :( ),0.5,Mentions values going up slowly; partial trend idea but incomplete.
69d5bc72bf90388665397b6e,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","correlation is like, how connected two variables are. like how much changes in variable x cause changes in variable y",0.5,Mentions connected variables/change but frames as causation and lacks direction/strength.
69d5bc72bf90388665397b6e,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",its a line.. it shows relationship between x axis and y axis. or something,0.5,Mentions line/relationship between axes; vague partial understanding.
69e293f57120947b9a8408de,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",It measures how two variables move together,0.5,Mentions two variables move together but no strength/direction.
69e293f57120947b9a8408de,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",It tells you how steep a line is,1,Mentions steepness of line
69e7ac40430645b3492b7f1b,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A connection between two things.,0.5,Mentions connection between two things; vague.
69e7ac40430645b3492b7f1b,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A downward shape or a word used to describe a downward appearance of an object.,0.5,Defines only downward appearance; not a meaningful slope definition.
69e96cde65aa9df15260c718,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",how two things relate to the same idea,0,Mentions relation but vague; no variables/direction/strength.
69e96cde65aa9df15260c718,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",an angle either increasiong or decreasing,0.5,Mentions angle increasing/decreasing; partial slope intuition.
69e9f6a993985bfec2114d70,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",something that is related in some way shape or form.,0,Mentions relatedness but very vague.
69e9f6a993985bfec2114d70,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",an incline or decline,0.5,Mentions incline/decline; partial but no rate/change.
69eae5f4f5ce43d5a34d388f,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",a connection of one thing to another,0.5,Mentions connection; vague and no direction/strength.
69eae5f4f5ce43d5a34d388f,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",a slope is a large decrease,0,Defines slope only as large decrease; incorrect/incomplete.
69ecc0e01df33a8b5fa811f2,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",something that relates to something. like if price of oil goes up gas goes up since they are correlated.,0.5,Gives co-movement example but frames relatedness broadly; no strength/direction measure.
69ecc0e01df33a8b5fa811f2,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",an incline or decline on a hill up or down.,0.5,Mentions incline/decline up/down; partial but no rate/change.
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two things and how they are alike.,0.5,Mentions relationship/alikeness; vague and no direction/strength.
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The steepness of a line,1,Mentions steepness of a line; partial but no rate/change.
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is when one statistical factor can be proven to directly relate to another statistical factor,0.5,Mentions direct relation but frames as proven/direct; lacks direction/strength.
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is the positive or negative direction of statistical information.,0.5,Mentions positive/negative direction; partial but no rate/change.
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is when they are related.,0.5,Mentions relatedness only; vague.
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",It's like an upward trajectory of a line.,0.5,Mentions upward trajectory; partial trend idea.
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",When numbers are realted in a graph and in comparison to each other.,0.5,Mentions numbers related/comparison on graph; vague.
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:","This is the trend in the numbers on a graph, for example if numbers are high, then they go down to a lower number. There's a steep slope.",0.5,Mentions trend/steepness; partial but no rate/rise-run.
676276312d87ec9601be7d5c,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A Correlation measures the strength and direction of a relationship between two variables,1,Mentions strength and direction of relationship between variables.
676276312d87ec9601be7d5c,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The slope is the rate of change between two variables representing the steepness of a line as rise over run in a linear equation,1,"Mentions rate of change, steepness, and rise over run."
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",a statitical measure that describes how 2 veriables move together,1,Mentions statistical measure and variables move together.
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",i would say the rate of change in a linear relationship,1,Defines slope as rate of change in linear relationship.
67eec9e200be02ad51843d9b,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is somethat that can be ascribed two 2 or more items or ideas,0,Unclear/irrelevant definition.
67eec9e200be02ad51843d9b,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a gradual rise of the terrain,0,Terrain rise only; not statistical slope.
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation usually refers to two variables or lines and how they move together. Positive correlation= increase. Negative correlation = decrease.,1,Mentions variables moving together and positive/negative correlation.
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope shows how something changes when another thing changes (variables).,1,Mentions how one variable changes when another changes.
695bbdf21fd961458dd7390f,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A connection to one thing to another.,0.5,Mentions connection; vague.
695bbdf21fd961458dd7390f,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A uphill or downhill portion of land of object.,0,Terrain description only; not statistical slope.
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",The standardized quantification of the linear association between two variables,1,Defines standardized quantification of linear association between variables.
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The estimated change in an outcome for every one unit increase in a predictor variable,1,Defines change in outcome per one-unit increase in predictor.
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",something of similar aspects,0,Only similar aspects; too vague/incorrect.
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a decline of something,0,Decline only; not meaningful slope definition.
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",an association between two or more things.,0.5,Mentions association but no strength/direction.
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",the rate of change,1,Defines slope as rate of change.
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Variables that are related (affect each other),0.5,Mentions related variables but says affect each other; no direction/strength and causation.
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",change in y-axis divided by change in x-axis (curve of line),1,Mentions change in y divided by change in x.
69b64051157b8364c2a0afa6,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is how one variable directly impacts or affects the other.,0.5,Mentions one variable impacts another; causation and no strength/direction.
69b64051157b8364c2a0afa6,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is the amount of correlation between the two variables.,0,Defines slope as amount of correlation; incorrect.
69baaee936d901eb8e30d457,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two data points are connected in some way,0.5,Mentions data points connected; vague.
69baaee936d901eb8e30d457,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The rate of change,1,Defines slope as rate of change.
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",when two or more values are compared for similarities and/or dissimilarities,0.5,Mentions comparison for similarities/differences; vague relatedness.
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a slope describes the distance between two points on a graph,0,Mentions distance between two graph points; partial but not rate/change.
69defab23a249a0b519c8f6d,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is a way that two or more things are related to each other.,0.5,Mentions relatedness only; no direction/strength.
69defab23a249a0b519c8f6d,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",I'm not sure what a slope is in this context.,0,States not sure.
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How variables relate with each other,0.5,Mentions variables relate; vague.
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Is a steep,0,Too incomplete; 'is a steep' not meaningful.
69e696140295abac7fb9c28b,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is when you measure strength and direction and compare them.,0.5,Mentions measuring strength and direction.
69e696140295abac7fb9c28b,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is steepness defined by a line that slants up or down.,0.5,Mentions steepness/slant up or down; partial but no rate/change.
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","Correlation is where two things are related and how if one changes, so does the other.",0.5,Mentions relatedness and co-change; lacks strength/direction as measure.
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the ratio of change.,1,Mentions ratio of change but vague/underspecified.
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",When two things coincide with one another.,0.5,Mentions things coincide; vague relatedness.
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",When an incline moves downward at a gradual angle.,0,Terrain/downward incline only; not statistical slope.
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Ho one thing (behavior) is relative to another behavior.,0.5,Mentions one thing relative to another; vague.
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",I believe a slope is the degree a measurement decreases or increases compared to a previous or after the peak of the participants results.,0.5,Mentions degree of increase/decrease; partial but not rate/rise-run.
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is the combination of two different variables or things and how strong they connect with each other.,1,Mentions variables/things and strength of connection; misses direction/co-change.
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a measure of how steep something is with its direction.,1,Mentions steepness and direction; partial but no rate/rise-run.
66d88375799e00b593a8655f,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is how two things are related to each other.,0.5,Mentions relatedness only; no direction/strength.
66d88375799e00b593a8655f,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope id a downward trend in and abject or a trend.,0,Downward trend/object only; not meaningful statistical slope.
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",a factor that occurs in tandem with one or more other factors,0.5,Mentions factors occurring in tandem; vague co-occurrence.
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",I don't know what slope means in this context,0,States does not know.
69419e9576aea13f332266ff,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is how two or more variables are related to each other,0.5,Mentions related variables but no direction/strength.
69419e9576aea13f332266ff,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is rise over rune,1,Mentions rise over run.
69442e09aea78e142db2e54f,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","The relationship between 2 data points/concepts (i.e positive correlation, negative correlation).",0.5,Mentions relationship and positive/negative but vague; data points/concepts not variables/strength.
69442e09aea78e142db2e54f,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:","A slope is a line on a graph that shows all the data points, usually in a linear manner.",0.5,Mentions line on graph showing data points; partial but not rate/change.
69457dc95341cec41fca5695,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two data sets.,0.5,Mentions relationship between data sets but no strength/direction.
69457dc95341cec41fca5695,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",The angle of a line drawn to visually represent the relationship between two data points.,0.5,Mentions angle of line representing relationship; partial but no rate/change.
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is the link between A and B (for example the price of oil rising is linked to the war in Iran).,0.5,Mentions link between A and B with example; vague/causal context.
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",It is the visualization of a trend.,0.5,Mentions visualization of a trend; partial but incomplete.
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two variables,0.5,Mentions relationship between variables only.
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",The degree at which something changes,0.5,Mentions degree of change; partial but not specific y/x or rate.
69afafce3f7970642a6dc071,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",2 things moving together,0.5,Mentions moving together; no strength/direction measure.
69afafce3f7970642a6dc071,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",An angel going downward,0,Angle downward only/typo; not meaningful enough.
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",a correlation is a relationship. it is how things are related.,0.5,Mentions relationship/relatedness only.
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the rate of change. Sometimes referred to as rise over run.,1,Mentions rate of change and rise over run.
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","A measure that describes the strength and direction of the relationship between two variables, indicating how they change together.",1,"Mentions strength, direction, relationship, and change together."
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:","A numerical value that describes the steepness and direction of a line, calculated as the ratio of the rise to the run between two points.",1,"Mentions steepness, direction, and rise/run ratio."
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","A correlation measures how closely two variable are related, how they change together",1,Mentions variables related and change together.
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope measures the steepness and direction of a line on a graph.,1,Mentions steepness and direction; 
69c13c0ad9ea03501703d527,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",I think it's the relationship between the x and y axis.,0,Mentions relationship between x and y axis; vague.
69c13c0ad9ea03501703d527,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",I think it is rise/run.,1,Mentions rise/run.
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",It means similarities.,0,Only similarities; too vague.
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",a slope is a decline or a plane that goes downwards.,0,Decline/downward plane only; not meaningful statistical slope.
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relation between one variable occuring and another,0.5,Mentions relation between one variable and another; no direction/strength.
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the rise over run of a linear graph,1,Mentions rise over run of linear graph.
69e913482ae5864d44e6387c,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","Correlation is whether there is an association between two topics, objects, or general things.",0.5,Mentions association but no direction/strength.
69e913482ae5864d44e6387c,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is rise over run.,1,Mentions rise over run.
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",its show how two things are related,0.5,Mentions relatedness only; no direction/strength.
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",its how steep a line is,1,Mentions steepness; partial but no rate/change.
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation refers to the relationship between x and y variable.,0.5,Mentions relationship between x and y variable; no direction/strength.
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the rate of change,1,Defines slope as rate of change.
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is when two separate things have a trend in common or can be related to one another.,0.5,Mentions common trend/relatedness but no strength/direction.
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the change in a line graph's y-axis coordinates.,0.5,Mentions change in y-axis coordinates but not relative to x.
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",The relationship between two factors,0.5,Mentions relationship between factors only.
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The line between two points on a graph,0,Mentions line between two points; partial but not rate/change.
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",statics measure expressing the extent to two variable liner relate and move together.,1,"Mentions statistical measure, extent, variables linearly relate and move together."
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",low quality.,0,Irrelevant response.
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is a relationship between two or more entities.,0.5,Mentions relationship only; no direction/strength.
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope could be defined in a 2D system as rise over run.,1,Mentions rise over run.
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",When there is a relationship between 2 numbers.,0.5,Mentions relationship between numbers; vague.
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The steepness of a line graph.,1,Mentions steepness of line graph; partial.
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How things are related,0.5,Mentions relatedness only; no direction/strength.
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Incline or decline,0.5,Mentions incline/decline; partial.
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","When one number moves, the other number moves in the same direction.",0.5,Mentions co-movement in same direction but misses strength and negative/zero.
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",y=mx+b. The steepness of a line.,1,Mentions y=mx+b and steepness; partial but no rate/rise-run.
67204af156acf704058c6e66,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How two things or points are related,0.5,Mentions relatedness between things/points; vague.
67204af156acf704058c6e66,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:","The difference between two points, or the correlation between them I suppose",0.5,Mentions difference between points but confuses with correlation; partial.
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How similar two sets are data are .,0.5,Mentions similarity of data sets; vague.
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is rate of change between two points.,1,Defines slope as rate of change between two points.
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",How two things move in relation to each other,0.5,Mentions movement in relation to each other; partial but no strength/direction measure.
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",How steep the line is,1,Mentions steepness of line; partial.
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two things that have a relationship,0.5,Mentions relationship only; no direction/strength.
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Going up or down,0,Only going up/down; too vague.
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is a connection between two different variables,0.5,Mentions connection between variables; no direction/strength.
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A line on a chart when you log y = mx + b,0.5,Mentions line/equation y=mx+b but does not explain rate/change.
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation is a tistical tool that is used to measure the level of association between points,0.5,Mentions measure of level of association between points; partial but not direction/strength between variables.
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a tool that shows a relationship between data points,0.5,Mentions relationship between data points; partial but no rate/change.
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",It is a relation between two things.,0.5,Mentions relation only; no direction/strength.
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",Slope is the angle of a shape or arc,0.5,Mentions angle of shape/arc; partial geometric intuition.
