participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_responseId,parameters_instruction,parameters_imgSrcs,parameters_imgLabels,parameters_options,parameters_questionType,parameters_rankPrompts,parameters_pickQuestion,parameters_pickOptions,parameters_title,parameters_intro,parameters_sections,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc
"5e0b388b15ef4037cebdecc9","pre questions","3","q-class-taken","DEFAULT","completed","","","","100.00","","Have you ever taken a statistics class?","No","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","q-how-many","DEFAULT","completed","","","","100.00","","If yes, how many statistics classes have you taken in total?","","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","q-class-time","DEFAULT","completed","","","","100.00","","If yes, how long ago was your most recent statistics class?","","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","q-class-level","DEFAULT","completed","","","","100.00","","If yes, what is the highest level of a statistics class you have taken?","High school","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","q-grade","DEFAULT","completed","","","","100.00","","If yes, what grade did you get in the class?","I don't remember","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","windowEvents","DEFAULT","","","","","","","","{""focus"":7,""input"":142,""keydown"":146,""keyup"":142,""mousemove"":83,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":6,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","video-instruction","4","","DEFAULT","completed","","","","100.00","","","","","3220","3220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","video-instruction","4","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":12,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-video","5","video_done","DEFAULT","completed","","","","100.00",""," ","true","","288255","288255","https://wpivis.github.io/plotwise-study/plotwise-pilot/assets/videos/Control_Video.mp4","video_done","Continue","1200","1em auto","16 / 9","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-video","5","windowEvents","DEFAULT","","","","","","","","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":87,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":5,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","after-watch","6","","DEFAULT","completed","","","","100.00","","","","","6382","6382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","after-watch","6","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":20,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","thinkaloud","7","","DEFAULT","completed","","","","100.00","","","","","14011","14011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","thinkaloud","7","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":40,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","guess-correlation","8","break","DEFAULT","completed","","","","100.00","","","[]","","14653","14653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","guess-correlation","8","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-1","9","stat_guess","DEFAULT","completed","","","","100.00","","",".8","","68031","68031","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-1.png","slope = 0.96, correlation = 0.96","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-1","9","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".8","","68031","68031","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-1.png","slope = 0.96, correlation = 0.96","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-1","9","stat_guess_sign","DEFAULT","completed","","","","100.00","","","positive","","68031","68031","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-1.png","slope = 0.96, correlation = 0.96","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-1","9","windowEvents","DEFAULT","","","","","","","","{""focus"":4,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":161,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":11,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-2","10","stat_guess","DEFAULT","completed","","","","100.00","","","-0.5","","87483","87483","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-2.png","slope = -0.59, correlation = -0.80","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-2","10","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".5","","87483","87483","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-2.png","slope = -0.59, correlation = -0.80","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-2","10","stat_guess_sign","DEFAULT","completed","","","","100.00","","","negative","","87483","87483","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-2.png","slope = -0.59, correlation = -0.80","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-2","10","windowEvents","DEFAULT","","","","","","","","{""focus"":5,""input"":12,""keydown"":12,""keyup"":12,""mousemove"":180,""mousedown"":6,""mouseup"":6,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-3","11","stat_guess","DEFAULT","completed","","","","100.00","","","0","","16017","16017","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-3.png","slope = 0.04, correlation = 0.05","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-3","11","stat_guess_initial","DEFAULT","completed","","","","100.00","","","0","","16017","16017","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-3.png","slope = 0.04, correlation = 0.05","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-3","11","stat_guess_sign","DEFAULT","completed","","","","100.00","","","zero","","16017","16017","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-3.png","slope = 0.04, correlation = 0.05","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-3","11","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":43,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-4","12","stat_guess","DEFAULT","completed","","","","100.00","","","0","","10966","10966","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-4.png","slope = -0.30, correlation = -0.25","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-4","12","stat_guess_initial","DEFAULT","completed","","","","100.00","","","0","","10966","10966","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-4.png","slope = -0.30, correlation = -0.25","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-4","12","stat_guess_sign","DEFAULT","completed","","","","100.00","","","zero","","10966","10966","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-4.png","slope = -0.30, correlation = -0.25","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-4","12","windowEvents","DEFAULT","","","","","","","","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":16,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":4,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-5","13","stat_guess","DEFAULT","completed","","","","100.00","","",".6","","40148","40148","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-5.png","slope = 0.70, correlation = 0.50","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-5","13","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".6","","40148","40148","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-5.png","slope = 0.70, correlation = 0.50","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-5","13","stat_guess_sign","DEFAULT","completed","","","","100.00","","","positive","","40148","40148","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-5.png","slope = 0.70, correlation = 0.50","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-5","13","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":83,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":9,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-6","14","stat_guess","DEFAULT","completed","","","","100.00","","","-0.2","","17717","17717","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-6.png","slope = -0.46, correlation = -0.50","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-6","14","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".2","","17717","17717","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-6.png","slope = -0.46, correlation = -0.50","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-6","14","stat_guess_sign","DEFAULT","completed","","","","100.00","","","negative","","17717","17717","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-6.png","slope = -0.46, correlation = -0.50","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-6","14","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":30,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-7","15","stat_guess","DEFAULT","completed","","","","100.00","","",".8","","14964","14964","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-7.png","slope = -0.02, correlation = -0.04","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-7","15","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".8","","14964","14964","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-7.png","slope = -0.02, correlation = -0.04","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-7","15","stat_guess_sign","DEFAULT","completed","","","","100.00","","","positive","","14964","14964","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-7.png","slope = -0.02, correlation = -0.04","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-7","15","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":26,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-8","16","stat_guess","DEFAULT","completed","","","","100.00","","","0","","13197","13197","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-8.png","slope = 0.01, correlation = 0","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-8","16","stat_guess_initial","DEFAULT","completed","","","","100.00","","","0","","13197","13197","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-8.png","slope = 0.01, correlation = 0","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-8","16","stat_guess_sign","DEFAULT","completed","","","","100.00","","","zero","","13197","13197","","","","","","","","","What do you think the correlation is for this graph?","assets/imgs/control-r-8.png","slope = 0.01, correlation = 0","correlation","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-r-8","16","windowEvents","DEFAULT","","","","","","","","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":16,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","guess-slope","17","break","DEFAULT","completed","","","","100.00","","","[]","","3835","3835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","guess-slope","17","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":19,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-1","18","stat_guess","DEFAULT","completed","","","","100.00","","","0.1","","16295","16295","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-1.png","slope = 0.05","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-1","18","stat_guess_initial","DEFAULT","completed","","","","100.00","","","0","","16295","16295","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-1.png","slope = 0.05","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-1","18","stat_guess_sign","DEFAULT","completed","","","","100.00","","","positive","","16295","16295","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-1.png","slope = 0.05","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-1","18","windowEvents","DEFAULT","","","","","","","","{""focus"":4,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":42,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-2","19","stat_guess","DEFAULT","completed","","","","100.00","","","-0.3","","9876","9876","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-2.png","slope = -0.15","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-2","19","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".3","","9876","9876","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-2.png","slope = -0.15","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-2","19","stat_guess_sign","DEFAULT","completed","","","","100.00","","","negative","","9876","9876","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-2.png","slope = -0.15","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-2","19","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":18,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-3","20","stat_guess","DEFAULT","completed","","","","100.00","","","-0.9","","15466","15466","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-3.png","slope = -0.60","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-3","20","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".9","","15466","15466","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-3.png","slope = -0.60","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-3","20","stat_guess_sign","DEFAULT","completed","","","","100.00","","","negative","","15466","15466","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-3.png","slope = -0.60","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-3","20","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":29,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-4","21","stat_guess","DEFAULT","completed","","","","100.00","","",".5","","9995","9995","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-4.png","slope = 0.60","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-4","21","stat_guess_initial","DEFAULT","completed","","","","100.00","","",".5","","9995","9995","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-4.png","slope = 0.60","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-4","21","stat_guess_sign","DEFAULT","completed","","","","100.00","","","positive","","9995","9995","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-4.png","slope = 0.60","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-4","21","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":23,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":4,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-5","22","stat_guess","DEFAULT","completed","","","","100.00","","","-1.7","","9653","9653","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-5.png","slope = -3.0","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-5","22","stat_guess_initial","DEFAULT","completed","","","","100.00","","","1","","9653","9653","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-5.png","slope = -3.0","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-5","22","stat_guess_sign","DEFAULT","completed","","","","100.00","","","negative","","9653","9653","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-5.png","slope = -3.0","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-5","22","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":3,""keydown"":3,""keyup"":3,""mousemove"":20,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-6","23","stat_guess","DEFAULT","completed","","","","100.00","","","1.5","","5880","5880","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-6.png","slope = 1.50","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-6","23","stat_guess_initial","DEFAULT","completed","","","","100.00","","","1","","5880","5880","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-6.png","slope = 1.50","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-6","23","stat_guess_sign","DEFAULT","completed","","","","100.00","","","positive","","5880","5880","","","","","","","","","What do you think the slope is for this graph?","assets/imgs/control-slope-6.png","slope = 1.50","slope","stat_guess","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-slope-6","23","windowEvents","DEFAULT","","","","","","","","{""focus"":3,""input"":3,""keydown"":3,""keyup"":3,""mousemove"":14,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","bonus-intro","24","","DEFAULT","completed","","","","100.00","","","","","9122","9122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","bonus-intro","24","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":34,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-axis-swap-correlation","25","axis_swap_correlation_response","DEFAULT","completed","","","","100.00","","","The correlation stayed the same","","20743","20743","","","","","","","","","What do you think happened to the correlation after the swap?","","","","axis_swap_correlation_response","Compare the plot before and after swapping the X and Y axes.","[""assets/imgs/control-axis-swap-original.png"",""assets/imgs/control-axis-swap-swapped.png""]","[""Original"",""After swap""]","[""The correlation stayed the same"",""The correlation sign changed"",""The correlation value changed but sign stayed the same"",""The correlation value did not change, but the sign changed.""]","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-axis-swap-correlation","25","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":42,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-axis-swap-slope","26","axis_swap_slope_response","DEFAULT","completed","","","","100.00","","","The slope stayed the same","","38878","38878","","","","","","","","","What do you think happened to the slope after the swap?","","","","axis_swap_slope_response","Compare the plot before and after swapping the X and Y axes.","[""assets/imgs/control-axis-swap-original.png"",""assets/imgs/control-axis-swap-swapped.png""]","[""Original"",""After swap""]","[""The slope stayed the same"",""The slope changed"",""The slope became zero""]","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","control-axis-swap-slope","26","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":38,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":25,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
